name,url,inn,ogrn,registration_date,director_since,has_ceo_history,arbitr_cases_count,revenue,profit,email,website,matched,reasons
"ООО ""Арматех""",https://www.rusprofile.ru/id/503227,,,01.10.2008,с 6 февраля 2020 г.,True,4,1500000000,5100000,byx0106@bk.ru,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Холод Плюс""",https://www.rusprofile.ru/id/7269867,,,04.06.2014,с 5 декабря 2025 г.,True,0,591000000,6800000,support@holod-plus-ltd.ru,holod-plius.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Алко-Бим""",https://www.rusprofile.ru/id/11588544,,,11.10.2018,с 2 сентября 2024 г.,True,3,671000000,147000,,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""БВ""",https://www.rusprofile.ru/id/11495515,,,05.07.2018,с 15 декабря 2025 г.,True,1,300000000,11000000,bv020@rambler.ru,bvorg.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Амд-Инвест""",https://www.rusprofile.ru/id/11849363,,,29.07.2019,с 6 октября 2021 г.,True,8,389000000,24000000,amdinvest@bk.ru,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Север-Плюс""",https://www.rusprofile.ru/id/1207700139778,,,25.03.2020,с 29 января 2024 г.,True,0,984000000,512000,otdelreg@outlook.com,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Соттис""",https://www.rusprofile.ru/id/3156698,,,12.07.2001,с 21 февраля 2017 г.,True,11,1500000000,16000000,lenalida777@mail.ru,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""ТД Евроавтоматика Фиф""",https://www.rusprofile.ru/id/2114568,,,25.07.2007,с 30 июня 2015 г.,False,1,479000000,69000000,info@tde-fif.ru,tde-fif.ru,False,"['нет плашки истории руководителей', 'арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Ронетек""",https://www.rusprofile.ru/id/5858368,,,15.02.2012,с 14 февраля 2020 г.,True,25,3900000000,1800000,ronetek@mail.ru,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Френд Айти""",https://www.rusprofile.ru/id/10209048,,,10.11.2015,с 3 июня 2025 г.,True,3,442000000,150000,,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Олимп Сталь""",https://www.rusprofile.ru/id/11565418,,,20.09.2018,с 20 сентября 2018 г.,False,21,493000000,4200000,khuzeeva777@mail.ru,groupolimp.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Рейкард""",https://www.rusprofile.ru/id/1207700213830,,,02.07.2020,с 25 августа 2021 г.,True,0,434000000,239000,,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Элпиай Рус""",https://www.rusprofile.ru/id/981157,,,03.08.2006,с 8 февраля 2012 г.,False,16,673000000,207000000,info@lpirus.ru,lpirus.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Супрэмо""",https://www.rusprofile.ru/id/1519543,,,07.04.2003,с 16 мая 2005 г.,False,31,737000000,64000000,supremo@mail.ru,supremo.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""СИС""",https://www.rusprofile.ru/id/1212700012348,,,13.08.2021,с 29 декабря 2022 г.,True,7,2400000000,7200000,gullplus@mail.ru,siskms.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Гермес""",https://www.rusprofile.ru/id/1207700366059,,,05.10.2020,с 9 июля 2024 г.,True,0,1700000000,105000000,,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Ви Эл ПИ Компани""",https://www.rusprofile.ru/id/6845748,,,16.04.2013,с 11 мая 2022 г.,True,3,1400000000,251000000,acces@vlpco.ru,vlpco.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Экспосмарт""",https://www.rusprofile.ru/id/10643001,,,23.09.2016,с 20 августа 2019 г.,True,3,1500000000,178000000,a.auakina@lion-group.ru,lion-group.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Авиатэксим""",https://www.rusprofile.ru/id/889914,,,22.07.1999,с 19 января 2010 г.,False,22,598000000,89000000,info@aviatexim.ru,aviatexim.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Стримпартс""",https://www.rusprofile.ru/id/5557938,,,01.07.2011,с 8 июня 2022 г.,True,1,444000000,-8600000,finance@cs-broker.ru,cs-broker.ru,False,"['арбитражных дел не больше 5', 'выручка положительная']"
"ООО ""РМК""",https://www.rusprofile.ru/id/1185417,,,23.04.2007,с 23 апреля 2007 г.,False,8,451000000,78000000,info@rmc-mt.ru,celoxmedical.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Аас Сервис""",https://www.rusprofile.ru/id/5818709,,,17.01.2012,с 21 февраля 2019 г.,True,2,373000000,100000,aasservice@mail.ru,aasservice.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"АО ""Рацион""",https://www.rusprofile.ru/id/1227700109230,,,01.03.2022,с 26 апреля 2023 г.,True,24,2700000000,8900000,,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Космос""",https://www.rusprofile.ru/id/11614448,,,13.11.2018,с 12 мая 2023 г.,True,0,537000000,146000,nuridincontact@gmail.com,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Эмирп""",https://www.rusprofile.ru/id/978044,,,30.04.1998,с 5 декабря 2013 г.,False,9,426000000,6600000,irina-berdikova@mail.ru,emirp-rti.com,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Гольфстрим""",https://www.rusprofile.ru/id/5999095,,,25.06.2012,с 22 февраля 2019 г.,True,8,1200000000,3800000,,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"АО ""Емг-Промышленная Поддержка""",https://www.rusprofile.ru/id/2914063,,,10.07.1995,с 30 июля 2019 г.,True,10,314000000,4900000,vmorkovkin@yandex.ru,emg-prom.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Атберг 98""",https://www.rusprofile.ru/id/3950084,,,19.07.1996,с 5 декабря 2005 г.,False,39,619000000,68000000,6263192@gmail.com,,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Микролит""",https://www.rusprofile.ru/id/47619,,,27.05.2003,с 16 декабря 2022 г.,True,3,2200000000,77000000,larisa@rezonit.ru,rezonit.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Арго""",https://www.rusprofile.ru/id/6157708,,,10.08.2012,с 25 декабря 2019 г.,True,20,960000000,3400000,7714881036_771401001@eo.tensor.ru,rusargo.com,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Слоно Логистика Север""",https://www.rusprofile.ru/id/11127889,,,15.08.2017,с 13 декабря 2024 г.,True,2,1800000000,8000,slonologsev@mail.ru,slonologsever.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Алватекс ЗТМ""",https://www.rusprofile.ru/id/3136200,,,29.11.1999,,False,110,1900000000,18000000,info@alvatex.ru,alvatex.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Якамоз Торг""",https://www.rusprofile.ru/id/1640275,,,28.01.2010,с 29 мая 2025 г.,True,2,659000000,6200000,yakamoz.ooo@mail.ru,yakamoz-trade.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Один Тач""",https://www.rusprofile.ru/id/809212,,,10.03.2006,с 12 марта 2026 г.,True,1,1800000000,44000000,info@odintouch.ru,odintouch.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Тренд-СПБ""",https://www.rusprofile.ru/id/6688641,,,29.01.2013,с 18 августа 2021 г.,True,9,993000000,5200000,altsoft76@yamdex.ru,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Юсиджи""",https://www.rusprofile.ru/id/2458197,,,01.11.2008,с 14 ноября 2013 г.,False,89,7700000000,134000000,guseeva@ucgrus.ru,ucgrus.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""ЦТФ-Регион""",https://www.rusprofile.ru/id/133163,,,27.02.2006,с 14 июля 2020 г.,True,23,336000000,4700000,sales@ctf-m.ru,ctf-russia.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Пластик Система""",https://www.rusprofile.ru/id/1218750,,,07.02.2008,с 19 октября 2022 г.,True,46,460000000,3400000,mail@plsm.ru,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Эмеральд""",https://www.rusprofile.ru/id/11867677,,,20.08.2019,с 20 августа 2019 г.,False,1,2000000000,15000000,13.angelika@gmail.com,,True,"['нет плашки истории руководителей', 'арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Манупэкэджинг Рус""",https://www.rusprofile.ru/id/81623,,,30.11.2006,,True,24,624000000,60000000,buh1@manupackaging.ru,manulistretch.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Комлинк СПБ""",https://www.rusprofile.ru/id/2893580,,,05.11.2004,с 4 сентября 2014 г.,False,13,320000000,4900000,buh@comlinkspb.com,comlinkspb.com,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""ТД Востокстрой Групп""",https://www.rusprofile.ru/id/7807559,,,09.07.2014,с 22 сентября 2020 г.,True,28,5000000000,20000000,zakaz@5004000.ru,5004000.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Грин Строй""",https://www.rusprofile.ru/id/11405769,,,09.04.2018,с 9 апреля 2018 г.,False,47,596000000,1400000,1c@green-stroy.com,green-stroy.com,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Имаск Торг""",https://www.rusprofile.ru/id/6160275,,,21.08.2012,с 28 января 2021 г.,True,0,312000000,5600000,,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""СК А2""",https://www.rusprofile.ru/id/10763478,,,07.11.2016,с 16 января 2018 г.,True,9,428000000,456000000,a.titova85@bk.ru,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Наоми""",https://www.rusprofile.ru/id/11434227,,,07.05.2018,с 25 декабря 2025 г.,True,1,532000000,9600000,naomi_02@rambler.ru,naomirus.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Райл-02""",https://www.rusprofile.ru/id/2481444,,,13.02.2002,с 10 сентября 2008 г.,False,22,664000000,16000000,as@deelor.ru,deelo.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Промарт""",https://www.rusprofile.ru/id/4114504,,,05.08.2003,с 7 мая 2008 г.,False,39,2800000000,52000000,,marttrading.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Кровполимер""",https://www.rusprofile.ru/id/11285562,,,25.12.2017,с 2 сентября 2024 г.,True,8,684000000,4300000,,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""ТРС""",https://www.rusprofile.ru/id/453417,,,20.09.2007,с 16 декабря 2025 г.,False,59,2800000000,153000000,agafonovagl@mail.ru,tegola.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Катод Защита""",https://www.rusprofile.ru/id/10788820,,,01.12.2016,с 18 декабря 2019 г.,True,11,388000000,14000000,tyumen_mash@mail.ru,katod-zashita.ru,False,"['выручка положительная', 'прибыль положительная']"
"АО ""А.Миллер""",https://www.rusprofile.ru/id/1735688,,,13.11.1997,с 10 октября 2007 г.,False,16,341000000,14000000,office@a-miller.ru,a-miller.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Видеркрафт Рус""",https://www.rusprofile.ru/id/2448725,,,09.03.2010,с 12 мая 2025 г.,True,5,1900000000,124000000,info@wkraft.ru,thermobile-russia.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""РГК""",https://www.rusprofile.ru/id/10996839,,,02.05.2017,с 6 апреля 2018 г.,True,151,13000000000,354000000,info@rem-gas.ru,rem-gas.ru,False,"['выручка положительная', 'прибыль положительная']"
"АО ""Пожтехника Центр""",https://www.rusprofile.ru/id/3443535,,,02.03.1994,с 3 апреля 2018 г.,True,13,519000000,3700000,arsby@yandex.ru,ptc01.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""БГМ""",https://www.rusprofile.ru/id/2415886,,,19.06.2008,с 28 августа 2025 г.,True,14,441000000,47000,sales@bentogroup.ru,bentogroup.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Лигарда""",https://www.rusprofile.ru/id/1217700473528,,,06.10.2021,с 5 марта 2025 г.,True,19,813000000,-40000000,sales@ligarda.ru,www.ligarda.ru,False,['выручка положительная']
"АО ""Ионообменные Технологии""",https://www.rusprofile.ru/id/1160560,,,12.05.2000,с 16 июля 2009 г.,False,113,9700000000,290000000,ionteh@ioteh.com,ioteh.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Чистый Город""",https://www.rusprofile.ru/id/1207800089089,,,22.07.2020,с 11 февраля 2025 г.,True,8,325000000,1400000,konst.novikov77@gmail.com,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Иртыш-Арматура""",https://www.rusprofile.ru/id/5095869,,,04.02.2011,с 1 декабря 2016 г.,True,8,312000000,26000000,info@irtarm.ru,irtarm.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Сонэс Логистик""",https://www.rusprofile.ru/id/1840965,,,03.06.2010,с 3 июня 2010 г.,False,12,2200000000,55000000,info@sones.ru,sones.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"АО ""НПО ""Пульс""",https://www.rusprofile.ru/id/1555803,,,18.04.2003,с 3 октября 2023 г.,True,45,882000000,40000000,balashikha@npopuls.ru,npopuls.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Смартен""",https://www.rusprofile.ru/id/5767896,,,09.12.2011,с 9 декабря 2011 г.,True,18,653000000,3400000,finance@mdcompany.ru,mdcompany.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Рустехатом""",https://www.rusprofile.ru/id/11227439,,,08.11.2017,с 10 сентября 2025 г.,True,17,503000000,,buh@rustehatom.ru,rustehatom.ru,False,['выручка положительная']
"ООО ""Сталь-Череповец""",https://www.rusprofile.ru/id/1381703,,,14.02.1997,с 27 августа 2004 г.,False,82,446000000,12000000,metal@stal-cherepovets.ru,stal-cherepovets.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Гидронмаш - М""",https://www.rusprofile.ru/id/7729965,,,22.01.2015,с 28 мая 2025 г.,True,0,767000000,1300000,gidronmash@mail.ru,gidronmash-m.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Колибри""",https://www.rusprofile.ru/id/7007362,,,09.08.2013,с 3 октября 2023 г.,True,9,2300000000,-34000000,colibri.import@gmail.com,kolibri-rus.ru,False,['выручка положительная']
"ООО ""ИРРК Фрагмит""",https://www.rusprofile.ru/id/7462470,,,20.02.2015,с 20 февраля 2015 г.,False,21,597000000,2000000,info@fragmit.com,fragmit.com,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Спецмаш""",https://www.rusprofile.ru/id/10574860,,,02.08.2016,с 7 мая 2020 г.,True,8,371000000,37000000,,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Стандарт""",https://www.rusprofile.ru/id/1227700565465,,,12.09.2022,с 3 октября 2025 г.,True,0,877000000,544000,standart654@yandex.ru,standartlogist.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Веллтрейд""",https://www.rusprofile.ru/id/9265126,,,30.10.2014,с 19 февраля 2024 г.,True,4,2100000000,11000000,velltreid@mail.ru,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Клевер""",https://www.rusprofile.ru/id/1207700322213,,,03.09.2020,с 9 декабря 2024 г.,True,0,509000000,30000000,,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Николь""",https://www.rusprofile.ru/id/7734870,,,08.06.2015,с 10 сентября 2021 г.,True,12,1100000000,12000000,countinghouse@yandex.ru,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Ригида""",https://www.rusprofile.ru/id/10986391,,,21.04.2017,с 21 января 2022 г.,True,2,1100000000,14000000,,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Инкор""",https://www.rusprofile.ru/id/7700265,,,25.06.2015,с 25 июня 2015 г.,False,17,1700000000,67000000,info@incortrade.com,incortrade.com,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Византия""",https://www.rusprofile.ru/id/11576785,,,03.10.2018,с 1 марта 2019 г.,True,8,1300000000,65000000,777-01-01@mail.ru,wizantia.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""ИК ""Рост""",https://www.rusprofile.ru/id/3805692,,,10.08.2009,с 28 октября 2015 г.,True,8,1700000000,14000000,sharfunova@continentalplast.ru,continentalplast.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Гальди""",https://www.rusprofile.ru/id/5252594,,,10.02.2011,с 11 апреля 2017 г.,True,0,337000000,49000000,fin.russia@myaldi.com,galdi.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Траск""",https://www.rusprofile.ru/id/10823667,,,21.12.2016,с 15 сентября 2020 г.,True,12,464000000,-18000000,ab_baget@mail.ru,,False,"['выручка положительная', 'нет сайта или почты']"
"ООО ""Трансснаб-Урал""",https://www.rusprofile.ru/id/10612773,,,01.09.2016,с 29 августа 2019 г.,True,8,488000000,53000000,info@transsnabural.ru,transsnabural.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Юнибренд""",https://www.rusprofile.ru/id/1207700319419,,,31.08.2020,с 20 ноября 2023 г.,True,8,1600000000,9400000,etagunova@upeco.ru,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Инвестактивгрупп""",https://www.rusprofile.ru/id/6872128,,,19.04.2013,с 19 апреля 2013 г.,False,20,3000000000,59000000,info@investaktivgroup.ru,investaktivgroup.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Смарт Деливери""",https://www.rusprofile.ru/id/10940537,,,22.03.2017,с 28 февраля 2019 г.,True,10,2100000000,293000000,lawyer@taller.su,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Полипласт""",https://www.rusprofile.ru/id/11457967,,,01.06.2018,с 1 июня 2018 г.,False,2,823000000,3500000,,,True,"['нет плашки истории руководителей', 'арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"АО ""Эспе""",https://www.rusprofile.ru/id/2197307,,,07.02.1996,с 20 ноября 2014 г.,True,23,343000000,3600000,chelyabinsk@espe.spb.ru,espe.spb.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Глобал Трейд""",https://www.rusprofile.ru/id/5798884,,,20.12.2011,с 27 мая 2020 г.,True,40,917000000,11000000,780516s@host20.taxcom.ru,globl-trade.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО Строительная Компания ""Алатырь""",https://www.rusprofile.ru/id/7546151,,,21.03.2015,с 17 апреля 2025 г.,True,5,1300000000,7400000,altir.sl.ooo@mail.ru,alatyr-stroi.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Проект 111""",https://www.rusprofile.ru/id/3575312,,,18.10.2004,с 3 ноября 2021 г.,True,12,9400000000,809000000,akonovalov@msk.gifts.ru,msk.gifts.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Протос и к""",https://www.rusprofile.ru/id/3851722,,,16.07.1998,,False,0,388000000,-5800000,info@protos.ru,protos.ru,False,"['нет плашки истории руководителей', 'арбитражных дел не больше 5', 'выручка положительная']"
"ООО ""Эней""",https://www.rusprofile.ru/id/417929,,,17.02.2009,с 30 августа 2013 г.,False,20,345000000,2100000,info@aney-company.ru,aney-company.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Сигма""",https://www.rusprofile.ru/id/11827844,,,02.07.2019,с 8 сентября 2025 г.,True,6,339000000,1500000,info@lemniskata.info,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""ТД ""Курносики""",https://www.rusprofile.ru/id/6036046,,,16.04.2012,с 17 августа 2021 г.,True,16,375000000,-844000000,abuyanova@kurnosiky.com,kurnosiky.com,False,['выручка положительная']
"ООО ""Акспром""",https://www.rusprofile.ru/id/3516711,,,25.01.2010,с 11 ноября 2010 г.,False,48,708000000,56000,info@aksprom.ru,aksprom.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Флинт""",https://www.rusprofile.ru/id/3650954,,,18.03.2009,с 25 июля 2025 г.,True,0,960000000,23000000,,,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Праймкит""",https://www.rusprofile.ru/id/10846808,,,20.01.2017,с 16 декабря 2022 г.,True,11,881000000,17000000,o.balaev@primekit.ru,primekit.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Стройжелдорпроект-СЦБ""",https://www.rusprofile.ru/id/3141741,,,31.01.2008,с 8 февраля 2017 г.,True,8,1700000000,215000000,info@stroy-scb.ru,stroy-scb.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""ТД ЦНТ""",https://www.rusprofile.ru/id/2955789,,,18.01.2007,с 11 декабря 2025 г.,True,13,305000000,37000000,info@navitel.su,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Медикосм""",https://www.rusprofile.ru/id/7888568,,,20.08.2015,с 26 августа 2022 г.,True,11,912000000,89000000,e.poryadina@medicosm.ru,medicosm.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""НПИ""",https://www.rusprofile.ru/id/5747398,,,01.12.2011,с 1 декабря 2011 г.,False,12,582000000,53000000,office@npi-company.ru,npi-company.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""ПИК-Эксперт""",https://www.rusprofile.ru/id/7041449,,,15.11.2013,с 26 марта 2018 г.,True,21,463000000,65000000,mag911@list.ru,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Люкс""",https://www.rusprofile.ru/id/1237700941829,,,26.12.2023,с 4 марта 2024 г.,True,0,601000000,48000,info@lukscomp.ru,www.lukscomp.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""ХТС Рус""",https://www.rusprofile.ru/id/7620487,,,31.03.2015,с 15 ноября 2024 г.,True,6,1500000000,-93000000,lydia.smirnova@htseurope.com,htseurope.ru,False,['выручка положительная']
"ООО ""ПКФ Осв ПАК""",https://www.rusprofile.ru/id/3059371,,,26.02.2004,с 26 февраля 2004 г.,False,18,1900000000,37000000,streich.pack@gmail.com,www.pkfosvpak.msk.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
"ООО ""Айоэсси Раша""",https://www.rusprofile.ru/id/11718848,,,27.02.2019,с 12 января 2024 г.,True,37,1300000000,30000000,,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""БС-Актио""",https://www.rusprofile.ru/id/8553089,,,29.04.2014,с 10 февраля 2020 г.,True,29,422000000,4300000,anna1610@inbox.ru,bs-aktio.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Март Трейдинг""",https://www.rusprofile.ru/id/3873104,,,25.04.1996,с 13 января 2010 г.,False,5,2400000000,67000000,,,True,"['нет плашки истории руководителей', 'арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Локо-ЛТД""",https://www.rusprofile.ru/id/4120704,,,26.07.2005,с 5 марта 2026 г.,True,3,317000000,343000,loko@lokoltd.ru,lokoltd.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Промышленно-Инвестиционная Компания ""Берег""",https://www.rusprofile.ru/id/3924123,,,18.09.2003,с 29 мая 2025 г.,True,3,1800000000,6300000,pibereg_ooo@rambler.ru,pi-bereg.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ТПП ""Никан""",https://www.rusprofile.ru/id/5788526,,,20.12.2011,с 2 июля 2024 г.,True,1,543000000,2400000,info@tppnikan.ru,tppnikan.ru,False,"['арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная']"
"ООО ""Стройметиз""",https://www.rusprofile.ru/id/238153,,,23.06.1997,с 4 августа 2023 г.,True,178,2200000000,1300000,info@smetiz.ru,smetiz.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""ОСТ""",https://www.rusprofile.ru/id/11221740,,,02.11.2017,с 25 марта 2024 г.,True,122,1300000000,129000000,info@railbearing.ru,,False,"['выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""НПЦ ""Развитие""",https://www.rusprofile.ru/id/11111943,,,31.07.2017,с 1 декабря 2023 г.,True,53,3100000000,16000000,info@npc-r.ru,npc-r.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Партнер-Электро""",https://www.rusprofile.ru/id/6071629,,,25.05.2012,с 2 февраля 2023 г.,True,21,1200000000,11000000,d.yashin@partner-electro.ru,partner-electro.ru,False,"['выручка положительная', 'прибыль положительная']"
"ООО ""Еис Логистик""",https://www.rusprofile.ru/id/10279003,,,25.12.2015,с 25 декабря 2015 г.,False,4,342000000,10000000,giv20-30@yandex.ru,,True,"['нет плашки истории руководителей', 'арбитражных дел не больше 5', 'выручка положительная', 'прибыль положительная', 'нет сайта или почты']"
"ООО ""Сварби""",https://www.rusprofile.ru/id/2816662,,,01.03.2001,с 28 мая 2007 г.,False,45,1300000000,-17000000,buch@svarbi.ru,svarbi.ru,False,"['нет плашки истории руководителей', 'выручка положительная']"
"ООО ""Макком""",https://www.rusprofile.ru/id/655283,,,12.05.1992,с 9 ноября 2009 г.,False,16,3700000000,48000000,makkom-m@makkom-m.ru,makkom-m.ru,False,"['нет плашки истории руководителей', 'выручка положительная', 'прибыль положительная']"
